Date,Open,High,Low,Close,Volume
10/20/2020,"14.03","14.14","13.67","13.86","6,603,951"
10/19/2020,"13.44","14.50","13.38","13.91","13,169,070"
10/16/2020,"13.77","13.90","13.08","13.31","11,651,580"
10/15/2020,"11.99","15.10","11.99","13.83","39,894,820"
10/14/2020,"12.67","12.68","12.05","12.25","10,776,760"
10/13/2020,"11.73","12.42","11.65","11.88","10,179,710"
10/12/2020,"11.66","12.77","11.40","11.80","23,655,699"
10/09/2020,"12.83","14.80","11.90","12.02","77,152,781"
10/08/2020,"9.54","13.64","9.19","13.49","76,453,562"
10/07/2020,"9.23","9.56","9.17","9.36","3,308,644"
10/06/2020,"9.56","9.84","9.10","9.13","4,535,421"
10/05/2020,"9.44","9.59","9.25","9.46","2,804,969"
10/02/2020,"9.38","9.78","9.30","9.39","4,340,484"
10/01/2020,"10.09","10.25","9.69","9.77","4,554,055"
09/30/2020,"10.25","10.76","10.06","10.20","6,079,033"
09/29/2020,"10.00","10.65","9.93","10.35","5,244,339"
09/28/2020,"10.16","10.26","9.55","10.09","6,764,323"
09/25/2020,"9.19","10.18","9.10","10.02","7,515,157"
09/24/2020,"9.71","9.81","9.01","9.14","7,938,838"
09/23/2020,"10.60","10.86","9.92","10.04","10,651,150"
09/22/2020,"10.45","11.17","9.90","10.56","34,752,480"
09/21/2020,"9.35","9.60","8.38","8.75","7,639,806"
09/18/2020,"9.20","9.77","8.91","9.47","17,407,510"
09/17/2020,"8.57","9.77","8.41","9.20","17,026,721"
