Date,Open,High,Low,Close,Volume
09/14/2020,"6.80","7.00","6.43","6.91","10,118,970"
09/11/2020,"6.26","6.33","5.87","6.09","6,061,190"
09/10/2020,"6.65","6.95","6.19","6.23","15,558,280"
09/09/2020,"7.96","7.99","7.31","7.35","9,068,082"
09/08/2020,"7.55","8.28","7.48","7.70","9,816,620"
09/04/2020,"7.78","7.92","7.17","7.65","7,661,994"
09/03/2020,"7.88","8.45","7.24","7.82","14,344,500"
09/02/2020,"7.80","8.05","7.11","7.71","13,011,110"
09/01/2020,"7.30","7.82","6.77","7.65","23,211,051"
08/31/2020,"5.77","7.15","5.69","6.68","37,976,000"
08/28/2020,"5.30","5.57","5.22","5.39","4,236,926"
08/27/2020,"5.11","5.38","5.02","5.25","3,384,658"
08/26/2020,"4.97","5.22","4.92","5.11","2,779,664"
08/25/2020,"4.88","5.25","4.88","4.98","2,998,678"
08/24/2020,"5.10","5.13","4.56","4.87","4,585,366"
08/21/2020,"4.60","5.60","4.60","5.03","10,642,590"
08/20/2020,"4.62","4.68","4.51","4.61","2,441,184"
08/19/2020,"4.80","4.84","4.64","4.72","2,612,583"
08/18/2020,"4.61","4.87","4.44","4.81","3,834,840"
08/17/2020,"4.78","4.78","4.56","4.63","2,370,970"
08/14/2020,"4.60","4.83","4.55","4.75","3,474,692"
08/13/2020,"4.52","4.71","4.50","4.64","2,128,313"
08/12/2020,"4.40","4.63","4.36","4.52","3,057,594"
08/11/2020,"4.43","4.57","4.34","4.35","3,139,105"

