Date,Open,High,Low,Close,Volume
08/13/2020,"4.52","4.71","4.50","4.64","2,128,313"
08/12/2020,"4.40","4.63","4.36","4.52","3,057,594"
08/11/2020,"4.43","4.57","4.34","4.35","3,139,105"
08/10/2020,"4.20","4.57","4.18","4.33","4,561,772"
08/07/2020,"4.39","4.40","4.06","4.16","3,341,099"
08/06/2020,"4.60","4.66","4.38","4.43","1,901,224"
08/05/2020,"4.50","4.76","4.25","4.63","4,925,697"
08/04/2020,"4.13","4.74","4.13","4.43","10,361,360"
08/03/2020,"4.03","4.25","4.00","4.15","2,518,010"
07/31/2020,"4.06","4.16","3.99","4.01","1,879,553"
07/30/2020,"4.00","4.23","3.97","4.10","2,398,485"
07/29/2020,"3.94","4.18","3.92","4.06","2,879,626"
07/28/2020,"3.96","4.05","3.92","3.94","4,555,392"
07/27/2020,"4.02","4.12","3.95","4.01","2,472,696"
07/24/2020,"4.06","4.23","4.01","4.03","2,216,295"
07/23/2020,"4.09","4.31","4.06","4.11","3,237,550"
07/22/2020,"4.02","4.12","3.92","4.11","2,523,547"
07/21/2020,"3.90","4.09","3.88","4.01","3,341,012"
07/20/2020,"3.95","4.06","3.77","3.85","3,401,088"
07/17/2020,"4.16","4.23","3.94","3.96","3,066,549"
07/16/2020,"4.19","4.20","4.09","4.17","1,330,461"
07/15/2020,"4.13","4.29","4.13","4.19","1,474,126"
07/14/2020,"4.22","4.31","4.07","4.08","2,261,589"
07/13/2020,"4.35","4.55","4.26","4.26","4,216,265"
07/10/2020,"4.20","4.38","4.18","4.34","1,410,828"
