Date,Open,High,Low,Close,Volume
05/01/2020,"5.65","6.18","5.45","6.05","4,005,598"
04/30/2020,"5.87","5.98","5.64","5.73","2,173,530"
04/29/2020,"5.83","6.09","5.45","6.04","3,370,045"
04/28/2020,"5.92","6.04","5.06","5.64","5,200,189"
04/27/2020,"4.85","5.99","4.81","5.82","7,275,138"
04/24/2020,"4.78","4.85","4.66","4.77","2,236,544"
04/23/2020,"4.75","4.89","4.58","4.70","2,265,853"
04/22/2020,"5.14","5.17","4.83","4.89","2,678,133"
04/21/2020,"5.23","5.30","4.76","4.78","4,142,050"
04/20/2020,"4.85","5.90","4.78","5.61","6,085,011"
04/17/2020,"5.22","5.28","4.43","4.88","5,653,188"
04/16/2020,"5.12","5.44","4.88","5.03","3,371,921"
04/15/2020,"5.66","5.67","4.90","5.27","7,499,854"
04/14/2020,"5.21","6.47","5.14","5.95","13,506,630"
04/13/2020,"4.25","4.76","4.16","4.74","6,844,501"
04/09/2020,"3.60","4.25","3.49","3.89","5,908,916"
04/08/2020,"3.23","3.67","3.20","3.41","2,884,528"
04/07/2020,"3.39","3.44","3.10","3.27","2,836,859"
04/06/2020,"2.86","3.20","2.83","3.09","3,331,070"
04/03/2020,"2.85","2.94","2.57","2.80","3,830,761"
04/02/2020,"3.26","3.35","2.85","2.85","4,064,339"
04/01/2020,"3.45","3.49","3.12","3.25","4,568,695"
03/30/2020,"4.22","4.27","3.65","3.65","3,350,571"
03/27/2020,"4.94","5.09","4.15","4.22","7,024,763"
