Date,Open,High,Low,Close,Volume
06/05/2020,"4.29","4.41","4.09","4.14","6,274,428"
06/04/2020,"4.44","4.72","4.37","4.47","3,514,299"
06/03/2020,"4.24","4.52","4.20","4.44","3,037,424"
06/02/2020,"4.27","4.31","4.06","4.18","2,369,780"
06/01/2020,"4.12","4.36","4.02","4.13","2,618,424"
05/29/2020,"4.33","4.42","4.05","4.06","3,973,540"
05/28/2020,"4.75","4.76","4.30","4.33","2,184,367"
05/27/2020,"4.57","4.71","4.36","4.69","3,146,603"
05/26/2020,"4.34","4.61","4.33","4.42","3,545,926"
05/22/2020,"4.46","4.49","4.13","4.18","2,379,851"
05/21/2020,"4.45","4.65","4.40","4.44","1,971,906"
05/20/2020,"4.50","4.69","4.34","4.43","2,543,609"
05/19/2020,"4.58","4.75","4.37","4.44","1,840,732"
05/18/2020,"4.40","4.63","4.36","4.58","2,371,694"
05/15/2020,"4.05","4.45","4.04","4.22","1,940,704"
05/14/2020,"4.15","4.19","3.96","4.13","2,004,868"
05/13/2020,"4.54","4.54","4.07","4.21","2,882,877"
05/12/2020,"4.78","4.92","4.46","4.54","2,639,157"
05/11/2020,"4.92","4.96","4.75","4.76","1,699,158"
05/08/2020,"4.88","5.19","4.82","4.98","2,353,661"
05/07/2020,"4.83","4.94","4.65","4.87","2,501,195"
05/06/2020,"5.40","5.40","4.90","4.93","3,369,640"
05/05/2020,"5.55","5.63","5.35","5.39","2,105,919"
05/04/2020,"5.84","5.93","5.40","5.48","4,068,105"
