Date,Open,High,Low,Close,Volume
07/10/2020,"4.20","4.38","4.18","4.34","1,410,828"
07/09/2020,"4.27","4.32","4.13","4.21","1,992,621"
07/08/2020,"4.10","4.29","4.03","4.26","2,052,829"
07/07/2020,"4.20","4.25","4.06","4.09","2,456,970"
07/06/2020,"4.31","4.34","4.19","4.24","2,140,879"
07/02/2020,"4.49","4.51","4.29","4.29","1,887,751"
07/01/2020,"4.31","4.50","4.31","4.44","2,304,101"
06/30/2020,"4.33","4.51","4.20","4.34","3,889,029"
06/29/2020,"4.35","4.52","4.30","4.38","2,131,330"
06/26/2020,"4.48","4.50","4.27","4.35","3,801,155"
06/25/2020,"4.33","4.54","4.30","4.46","2,450,936"
06/24/2020,"4.83","4.84","4.38","4.41","2,976,209"
06/23/2020,"4.95","4.99","4.80","4.83","3,205,372"
06/22/2020,"4.79","4.95","4.72","4.87","3,178,966"
06/19/2020,"4.95","5.08","4.69","4.88","7,365,867"
06/18/2020,"4.67","4.95","4.65","4.95","3,423,827"
06/17/2020,"4.54","4.83","4.53","4.76","3,593,466"
06/16/2020,"4.95","4.95","4.51","4.64","3,123,535"
06/15/2020,"4.50","4.77","4.42","4.69","3,910,385"
06/12/2020,"4.60","4.78","4.39","4.72","4,378,192"
06/11/2020,"4.64","4.90","4.18","4.37","6,235,993"
06/10/2020,"4.78","5.53","4.68","5.07","10,606,370"
06/09/2020,"5.00","5.00","4.55","4.96","8,073,448"
06/08/2020,"4.28","5.14","4.27","5.01","10,133,660"
